c,L,n,estimator,t_min,t_max,points,used_t_min,used_t_max,alpha,low,high,delta_vs_threshold,delta_low,delta_high,unresolved_values
0.15,96,8,positive_lobe,100,200000,38,105,135751,0.2227527520562771,0.21842969571091958,0.22714109969343815,-0.010470515939186659,-0.01178197609783913,-0.008870973812634781,2
0.15,96,8,positive_lobe,1000,20000,16,1069,19557,0.20709816243557339,0.19568094565280528,0.21851026675178364,-0.007905766635689482,-0.010699655268788242,-0.004842649538133797,2
0.15,96,8,positive_lobe,1000,200000,26,1069,135751,0.2436284052752602,0.23571162260820472,0.24998392598868496,-0.009171619771258799,-0.012346944692555362,-0.005983391842498494,2
0.15,96,8,spectral_moment,100,20000,28,105,19557,0.1242985735469149,0.12082324530529603,0.12857885449462544,-0.08699468978215352,-0.0890942132115324,-0.084924314585216,0
0.15,96,8,spectral_moment,100,200000,38,105,135751,0.13809751061870876,0.13505874497163242,0.141596312125844,-0.095125757376755,-0.09694170899540525,-0.09309456600872006,0
0.15,96,8,spectral_moment,1000,20000,16,1069,19557,0.13037929941342946,0.12298459522265352,0.13789917530555323,-0.0846246296578334,-0.08939575616199301,-0.07987208797123864,0
0.15,96,8,spectral_moment,1000,200000,26,1069,135751,0.15144329732909248,0.14637518072421526,0.1563925818264318,-0.10135672771742651,-0.1043919841735052,-0.09770128717953581,0
0.15,96,8,inverse_interface_proxy,100,20000,28,105,19557,0.16323821153390208,0.15873141917619704,0.16849131249584579,-0.04805505179516634,-0.04962034993395776,-0.04649809091112916,0
0.15,96,8,inverse_interface_proxy,100,200000,38,105,135751,0.17413565993585978,0.1703934996082383,0.17856551843688365,-0.059087608059603974,-0.060229352133273094,-0.05762248752925789,0
0.15,96,8,inverse_interface_proxy,1000,20000,16,1069,19557,0.16584086272067342,0.15587773700322746,0.17543984866411247,-0.04916306635058945,-0.052987157688281494,-0.04560054163005715,0
0.15,96,8,inverse_interface_proxy,1000,200000,26,1069,135751,0.1838548961253673,0.17770499648698024,0.1900855570203671,-0.0689451289211517,-0.07112875203627643,-0.066137240606007,0
0.15,128,8,threshold_05,100,20000,28,105,19557,0.21235847608964867,0.207188331664008,0.2178076466882103,0.0,0.0,0.0,0
0.15,128,8,threshold_05,100,200000,40,105,200000,0.23619050358472332,0.23199531862461928,0.2400257418920999,0.0,0.0,0.0,0
0.15,128,8,threshold_05,1000,20000,16,1069,19557,0.23522889545213926,0.22482416062959298,0.24643338496593628,0.0,0.0,0.0,0
0.15,128,8,threshold_05,1000,200000,28,1069,200000,0.26037317015856276,0.25148070784267806,0.26890196389611987,0.0,0.0,0.0,0
0.15,128,8,positive_lobe,100,20000,28,105,19557,0.20210753569263495,0.19683167354333284,0.207714669830295,-0.010250940397013714,-0.011096520699255479,-0.009506230535658636,0
0.15,128,8,positive_lobe,100,200000,40,105,200000,0.22605500443060947,0.221859577814942,0.23020962157585637,-0.010135499154113853,-0.010746919231450517,-0.009580435688913206,0
0.15,128,8,positive_lobe,1000,20000,16,1069,19557,0.22844990633488219,0.21707981792571443,0.2404584771952559,-0.006778989117257078,-0.009428202893063703,-0.0042173411215542895,0
0.15,128,8,positive_lobe,1000,200000,28,1069,200000,0.2506839650147251,0.24134188312892801,0.259462038083928,-0.009689205143837643,-0.010547608102141452,-0.008765803118918643,0
