file,seed,c,L,t,condition,crop_id,pixel_size_sites,width_sites,phase_fraction,length,length_x,length_y,resolved
c1_L128_rep001.npz,2864519957,0.15,128,135751,full,full,1,128,0.1500244140625,5.639042056566324,5.762386916774484,5.515697196358164,True
c1_L128_rep001.npz,2864519957,0.15,128,135751,bin2,full,2,128,0.16015625,6.106613033915753,6.306509986357998,5.906716081473509,True
c1_L128_rep001.npz,2864519957,0.15,128,135751,bin4,full,4,128,0.1494140625,6.279237401071228,6.526090906473698,6.032383895668758,True
c1_L128_rep001.npz,2864519957,0.15,128,135751,blur1,full,1,128,0.14410400390625,6.035468154948578,6.148590459409561,5.922345850487597,True
c1_L128_rep001.npz,2864519957,0.15,128,135751,blur2,full,1,128,0.1357421875,6.246657766648382,6.346252248722191,6.147063284574573,True
c1_L128_rep001.npz,2864519957,0.15,128,135751,blur1_threshold_minus02,full,1,128,0.15289306640625,6.168363859763683,6.286548404808645,6.05017931471872,True
c1_L128_rep001.npz,2864519957,0.15,128,135751,blur1_threshold_plus02,full,1,128,0.1348876953125,5.954268224052537,6.080613805294053,5.8279226428110205,True
c1_L128_rep001.npz,2864519957,0.15,128,135751,crop96,0:0,1,96,0.1274956597222222,6.244576139456335,5.963679263310897,6.525473015601773,True
c1_L128_rep001.npz,2864519957,0.15,128,135751,crop96,0:32,1,96,0.1342230902777778,5.648657208177299,6.181471628403468,5.11584278795113,True
c1_L128_rep001.npz,2864519957,0.15,128,135751,crop96,32:0,1,96,0.1646050347222222,5.6765232646610935,5.599520302204759,5.753526227117428,True
c1_L128_rep001.npz,2864519957,0.15,128,135751,crop96,32:32,1,96,0.16373697916666666,5.195586635781863,5.688661704762807,4.7025115668009185,True
c1_L128_rep001.npz,2864519957,0.15,128,135751,crop64,0:0,1,64,0.1748046875,7.01330373395666,6.3192072640702115,7.707400203843109,True
c1_L128_rep001.npz,2864519957,0.15,128,135751,crop64,0:64,1,64,0.111083984375,5.7319586523012,5.4372528260511785,6.026664478551221,True
c1_L128_rep001.npz,2864519957,0.15,128,135751,crop64,64:0,1,64,0.14794921875,6.654155451217241,6.508415700746878,6.799895201687604,True
c1_L128_rep001.npz,2864519957,0.15,128,135751,crop64,64:64,1,64,0.166259765625,4.672832838554381,5.553391808751967,3.792273868356795,True
c1_L128_rep001.npz,2864519957,0.15,128,135751,crop32,0:0,1,32,0.2060546875,5.843477480425844,7.345523092958112,4.341431867893576,True
c1_L128_rep001.npz,2864519957,0.15,128,135751,crop32,0:96,1,32,0.1298828125,4.8941432603566435,4.937684911898571,4.850601608814716,True
c1_L128_rep001.npz,2864519957,0.15,128,135751,crop32,96:0,1,32,0.33203125,7.415371421343254,6.780994298685529,8.049748544000979,True
c1_L128_rep001.npz,2864519957,0.15,128,135751,crop32,96:96,1,32,0.1875,4.640964134438793,5.53512764694241,3.7468006219351757,True
c1_L128_rep001.npz,2864519957,0.15,128,164773,full,full,1,128,0.1500244140625,5.700160987869296,5.765318525338985,5.635003450399607,True
c1_L128_rep001.npz,2864519957,0.15,128,164773,bin2,full,2,128,0.1552734375,6.216113670009159,6.186645778441506,6.245581561576811,True
c1_L128_rep001.npz,2864519957,0.15,128,164773,bin4,full,4,128,0.146484375,6.61925240566624,6.831881837245939,6.40662297408654,True
c1_L128_rep001.npz,2864519957,0.15,128,164773,blur1,full,1,128,0.1417236328125,6.24587563597305,6.3371078468322155,6.154643425113884,True
c1_L128_rep001.npz,2864519957,0.15,128,164773,blur2,full,1,128,0.13458251953125,6.422939287694497,6.52342542725425,6.322453148134745,True
c1_L128_rep001.npz,2864519957,0.15,128,164773,blur1_threshold_minus02,full,1,128,0.15118408203125,6.323005049781109,6.393988050970555,6.252022048591664,True
c1_L128_rep001.npz,2864519957,0.15,128,164773,blur1_threshold_plus02,full,1,128,0.13323974609375,6.142566544031833,6.242688574412304,6.042444513651364,True
c1_L128_rep001.npz,2864519957,0.15,128,164773,crop96,0:0,1,96,0.13368055555555555,6.062212222108171,6.051312929647103,6.07311151456924,True
c1_L128_rep001.npz,2864519957,0.15,128,164773,crop96,0:32,1,96,0.13606770833333334,5.594797604636687,5.763783201550178,5.425812007723196,True
c1_L128_rep001.npz,2864519957,0.15,128,164773,crop96,32:0,1,96,0.16959635416666666,5.855360086339458,6.239183288631208,5.471536884047708,True
c1_L128_rep001.npz,2864519957,0.15,128,164773,crop96,32:32,1,96,0.15950520833333334,5.428108965789521,5.876241512634446,4.979976418944595,True
c1_L128_rep001.npz,2864519957,0.15,128,164773,crop64,0:0,1,64,0.174560546875,6.751715610896083,6.898853531401798,6.604577690390368,True
c1_L128_rep001.npz,2864519957,0.15,128,164773,crop64,0:64,1,64,0.1103515625,5.701923063151961,5.064381115598727,6.339465010705194,True
c1_L128_rep001.npz,2864519957,0.15,128,164773,crop64,64:0,1,64,0.16259765625,6.675904391315123,6.98140809588509,6.370400686745155,True
c1_L128_rep001.npz,2864519957,0.15,128,164773,crop64,64:64,1,64,0.152587890625,4.809434040891745,5.280292108395883,4.3385759733876075,True
c1_L128_rep001.npz,2864519957,0.15,128,164773,crop32,0:0,1,32,0.166015625,4.580612985271675,5.177194148936171,3.9840318216071795,True
c1_L128_rep001.npz,2864519957,0.15,128,164773,crop32,0:96,1,32,0.1201171875,4.504605850696207,3.539916440831075,5.469295260561338,True
c1_L128_rep001.npz,2864519957,0.15,128,164773,crop32,96:0,1,32,0.341796875,7.45895818554772,7.690417308793984,7.227499062301457,True
c1_L128_rep001.npz,2864519957,0.15,128,164773,crop32,96:96,1,32,0.18359375,5.007352945591215,5.156828263822258,4.857877627360172,True
c1_L128_rep001.npz,2864519957,0.15,128,200000,full,full,1,128,0.1500244140625,6.136642096736059,6.450135077209789,5.82314911626233,True
c1_L128_rep001.npz,2864519957,0.15,128,200000,bin2,full,2,128,0.15771484375,6.447045073374019,6.732072478341169,6.162017668406869,True
c1_L128_rep001.npz,2864519957,0.15,128,200000,bin4,full,4,128,0.14453125,6.707631898962566,7.010678530388654,6.404585267536477,True
c1_L128_rep001.npz,2864519957,0.15,128,200000,blur1,full,1,128,0.14361572265625,6.575562202908717,6.863167813047102,6.287956592770333,True
c1_L128_rep001.npz,2864519957,0.15,128,200000,blur2,full,1,128,0.1378173828125,6.626355986086205,6.899641148903198,6.353070823269211,True
c1_L128_rep001.npz,2864519957,0.15,128,200000,blur1_threshold_minus02,full,1,128,0.15203857421875,6.6798891525996105,6.962366796133102,6.397411509066119,True
c1_L128_rep001.npz,2864519957,0.15,128,200000,blur1_threshold_plus02,full,1,128,0.13555908203125,6.45431416507457,6.746578778240509,6.162049551908631,True
