c,L,n,condition,t_min,t_max,points,used_t_min,used_t_max,alpha,low,high,delta_vs_full,delta_low,delta_high,unresolved_fraction,matched_last_time,matched_last_length_ratio
0.5,32,8,bin2,1000,20000,16,1069,19557,0.22359066916507744,0.19688008680288588,0.25215622855137354,-0.009176075370011721,-0.014370376960959295,-0.0024543547241400003,0.07291666666666667,19557,1.0218686389693175
0.5,32,8,bin2,1000,200000,19,1069,34974,0.24742811605166368,0.21819212021623186,0.28044116337187774,-0.0036619789427555782,-0.006746351447721703,0.0005126544496494918,0.07291666666666667,34974,1.0783945197482354
0.5,32,8,bin4,100,20000,28,105,19557,0.13684707642692015,0.12955981798692873,0.1465072705476268,-0.07462742426162677,-0.08788925285011605,-0.06300773086608542,0.07708333333333334,19557,1.1302325834115883
0.5,32,8,bin4,1000,20000,16,1069,19557,0.17636861941370569,0.14639225292066416,0.21197856532270573,-0.05639812512138348,-0.07395127871033921,-0.03627724889981834,0.07708333333333334,19557,1.1302325834115883
0.5,32,8,bin4,1000,200000,19,1069,34974,0.19717164150979183,0.16944169960772199,0.2306378166416935,-0.05391845348462743,-0.06949100558916393,-0.036793916987660796,0.07708333333333334,34974,1.0140703308783918
0.5,32,8,blur1,100,20000,28,105,19557,0.18573617590912483,0.17409276810957508,0.19679843061249042,-0.02573832477942209,-0.028086953450363286,-0.02384625906413657,0.075,19557,1.0750491091102916
0.5,32,8,blur1,1000,20000,16,1069,19557,0.20922133431068438,0.1848510271511205,0.2366850393506893,-0.02354541022440479,-0.031277369064936174,-0.014811686034284762,0.075,19557,1.0750491091102916
0.5,32,8,blur1,1000,200000,19,1069,34974,0.2297357588394454,0.20333171030915054,0.25973263298475374,-0.02135433615497387,-0.028039622195462747,-0.013335250547059474,0.075,34974,1.0578488746613568
0.5,32,8,blur2,100,20000,28,105,19557,0.13222701647103363,0.12273486068994639,0.1438567658260931,-0.07924748421751329,-0.09543607310678279,-0.06559540731141067,0.075,19557,1.1816435178384
0.5,32,8,blur2,1000,20000,16,1069,19557,0.1804714767147263,0.15214355672823626,0.2189829516840446,-0.05229526782036287,-0.0719886298822194,-0.029649019640510088,0.075,19557,1.1816435178384
0.5,32,8,blur2,1000,200000,19,1069,34974,0.19959403583725643,0.16990849800625948,0.23460086092147042,-0.05149605915716282,-0.06655359969286921,-0.03391804653677066,0.075,34974,1.1107382485799382
0.5,32,8,blur1_threshold_minus02,100,20000,28,105,19557,0.186922935535749,0.1751376140438375,0.19821163590555532,-0.02455156515279791,-0.025941252505888936,-0.0232464916361414,0.07291666666666667,19557,1.0707811890693635
0.5,32,8,blur1_threshold_minus02,1000,20000,16,1069,19557,0.21106949960310184,0.1883699903350798,0.23565961973174993,-0.021697244931987325,-0.030529804729431245,-0.013979224839681652,0.07291666666666667,19557,1.0707811890693635
0.5,32,8,blur1_threshold_minus02,1000,200000,19,1069,34974,0.23149136089732456,0.2055476134364093,0.26468849634536407,-0.0195987340970947,-0.027419098418907075,-0.01291110078487274,0.07291666666666667,34974,1.0628099144885568
0.5,32,8,blur1_threshold_plus02,100,20000,28,105,19557,0.18690275126372385,0.1749509950665597,0.19863476669375318,-0.02457174942482307,-0.02895730346221445,-0.02102230566539488,0.07291666666666667,19557,1.0682785185424155
0.5,32,8,blur1_threshold_plus02,1000,20000,16,1069,19557,0.20736805835827454,0.1831955172229697,0.2357674201200956,-0.025398686176814622,-0.03377958351227005,-0.016619469355453064,0.07291666666666667,19557,1.0682785185424155
0.5,32,8,blur1_threshold_plus02,1000,200000,19,1069,34974,0.22945086656988406,0.20154702570632735,0.2615228642680419,-0.021639228424535195,-0.028433531520136588,-0.014134902424972775,0.07291666666666667,34974,1.056072173837734
0.5,32,8,periodic_engine,100,20000,28,105,19557,0.20762594809882273,0.19789429780550105,0.21625084776948453,-0.0038485525897241912,-0.008996012536902789,0.0017497059585787073,0.07291666666666667,19557,0.9586372111864062
0.5,32,8,periodic_engine,1000,20000,16,1069,19557,0.22412093643312878,0.20450928109251637,0.24295641441273014,-0.00864580810196039,-0.021754143777164774,0.003815573751575727,0.07291666666666667,19557,0.9586372111864062
0.5,32,8,periodic_engine,1000,200000,19,1069,34974,0.24684237021656458,0.21323784474816454,0.28823116346529287,-0.004247724777854678,-0.02041697070724563,0.011596238054678278,0.07291666666666667,34974,1.0072263130230745
0.5,64,8,full,100,20000,28,105,19557,0.20369606282292682,0.2011047109979927,0.20626331735650907,0.0,0.0,0.0,0.0,19557,1.0
0.5,64,8,full,1000,20000,16,1069,19557,0.2319376747966581,0.215895114245292,0.24677866293188438,0.0,0.0,0.0,0.0,19557,1.0
0.5,64,8,full,1000,200000,28,1069,200000,0.2642859452091965,0.256463713475824,0.2703055966648473,0.0,0.0,0.0,0.0,200000,1.0
0.5,64,8,bin2,100,20000,28,105,19557,0.18915440221700555,0.18660319891000596,0.19159251829210122,-0.01454166060592127,-0.01621193010293627,-0.013100809809920195,0.0,19557,1.0393117112830752
0.5,64,8,bin2,1000,20000,16,1069,19557,0.22832595651761362,0.2113456968489581,0.24406461075042776,-0.0036117182790444957,-0.007386129959076364,0.00013654220472757405,0.0,19557,1.0393117112830752
0.5,64,8,bin2,1000,200000,28,1069,200000,0.25856762059529564,0.24974000041057812,0.2660537312127649,-0.0057183246139008714,-0.007295544613768237,-0.003985929999073119,0.0,200000,1.0275559869502224
0.5,64,8,bin4,100,20000,28,105,19557,0.13192107293459318,0.1287988528900986,0.13604294081252316,-0.07177498988833364,-0.07407396211701575,-0.06869780480966335,0.0,19557,1.1140554742468818
0.5,64,8,bin4,1000,20000,16,1069,19557,0.18650968437106547,0.16828294002079353,0.20450244323230962,-0.045427990425592646,-0.05119578505768723,-0.03891233194079131,0.0,19557,1.1140554742468818
0.5,64,8,bin4,1000,200000,28,1069,200000,0.23062070417144032,0.22148766018181865,0.23897304590670504,-0.0336652410377562,-0.037096819405168235,-0.03024740028560907,0.0,200000,1.0514591651068839
