composition,L,reference_L,sweep,n_small,n_reference,resolved_small,resolved_reference,mean_small,mean_reference,difference_sites,ratio,ratio_low,ratio_high,status
0.5,64,128,6273,16,16,True,True,2.5626713434224424,2.601964502372619,-0.03929315895017638,0.9848986567978362,0.9651150052511983,1.0063213011077765,resolved
0.5,64,128,7472,16,16,True,True,2.6796744036067595,2.7002443985793487,-0.020569994972589267,0.9923821728939012,0.9712599861687894,1.0150583337475199,resolved
0.5,64,128,8900,16,16,True,True,2.832431352098532,2.8099127237485413,0.02251862834999052,1.008013995651776,0.9848599559381978,1.0365561412532343,resolved
0.5,64,128,10600,16,16,True,True,2.9897569926544367,2.9443175280879093,0.04543946456652748,1.0154329362010206,0.9979984619416369,1.0366775547114022,resolved
0.5,64,128,12626,16,16,True,True,3.139716604549293,3.0911853164811744,0.04853128806811835,1.0156998960267332,0.9941013373154912,1.0405766593181647,resolved
0.5,64,128,15039,16,16,True,True,3.2836434704151416,3.2406915672796712,0.04295190313547037,1.0132539312192321,0.9873350642887253,1.042911481967699,resolved
0.5,64,128,17913,16,16,True,True,3.424098624580236,3.3996042638398647,0.024494360740371146,1.0072050623659075,0.9809547791848398,1.0396679688698671,resolved
0.5,64,128,21336,16,16,True,True,3.634899810578295,3.5782889574190806,0.056610853159214436,1.0158206488723722,0.9852834795554319,1.0605243088362557,resolved
0.5,64,128,25413,16,16,True,True,3.8344854995117705,3.7471172474549057,0.08736825205686483,1.0233161244463878,0.9869894944292166,1.0752606747808124,resolved
0.5,64,128,30270,16,16,True,True,4.043335484557131,3.905083999528481,0.13825148502865003,1.0354029478099174,0.9975407891983548,1.0959985320085879,resolved
0.5,64,128,36055,16,16,True,True,4.245529287738086,4.085937329122213,0.15959195861587272,1.0390588366293319,0.9901982546191757,1.1081110364165532,resolved
0.5,64,128,42945,16,16,True,True,4.5258457382360655,4.2730121787493465,0.25283355948671904,1.0591698663402171,0.9967532397870815,1.151907762495929,resolved
0.5,64,128,51152,16,16,True,True,4.780627628401077,4.470221550250897,0.31040607815018006,1.0694386340052335,1.0025350525353773,1.1676164333412054,resolved
0.5,64,128,60927,16,16,True,True,5.140129082678544,4.741943176637726,0.39818590604081816,1.0839710412395014,0.9976392637851286,1.2175119891572794,resolved
0.5,64,128,72570,16,16,True,True,5.407247909230169,4.983154102759351,0.4240938064708182,1.08510549698553,1.0081616101834756,1.2344588439699882,resolved
0.5,64,128,86439,16,16,True,True,6.110688608336197,5.247378711964252,0.8633098963719448,1.1645221249999662,1.0016742651924007,1.4917822198023192,resolved
0.5,64,128,102958,16,16,False,True,nan,5.534231539274539,nan,nan,nan,nan,unresolved
0.5,64,128,122633,16,16,False,True,nan,5.803508188788502,nan,nan,nan,nan,unresolved
0.5,64,128,146069,16,16,True,True,7.038002389628285,6.112233488916212,0.9257689007120726,1.1514616387595207,1.028271023710687,1.3526093195534985,resolved
0.5,64,128,173983,16,16,True,True,7.590062031056185,6.369118072470153,1.220943958586032,1.1916974916611194,1.0453421921690755,1.4330264655500842,resolved
0.5,64,128,207231,16,16,False,True,nan,6.7752632899179455,nan,nan,nan,nan,unresolved
0.5,64,128,246834,16,16,False,True,nan,7.2198231709446725,nan,nan,nan,nan,unresolved
0.5,64,128,294005,16,16,True,True,8.100166028865319,7.585165604206663,0.5150004246586555,1.0678957390690378,0.9891970723783349,1.1601820732471881,resolved
0.5,64,128,350190,16,16,True,True,8.69878574486936,8.020750560720835,0.6780351841485253,1.0845351291023804,0.9953319255355696,1.1920070336933406,resolved
0.5,64,128,417112,16,16,False,True,nan,8.444494655942504,nan,nan,nan,nan,unresolved
0.5,64,128,496824,16,16,False,True,nan,9.005950779230849,nan,nan,nan,nan,unresolved
0.5,64,128,591769,16,16,False,True,nan,9.464592377598821,nan,nan,nan,nan,unresolved
0.5,64,128,704857,16,16,False,True,nan,9.927464521043904,nan,nan,nan,nan,unresolved
0.5,64,128,839558,16,16,False,True,nan,10.687300963206885,nan,nan,nan,nan,unresolved
0.5,64,128,1000000,16,16,False,True,nan,11.359896670957239,nan,nan,nan,nan,unresolved
0.5,96,128,1,16,16,True,True,0.6709491430151505,0.6686719381657377,0.0022772048494128505,1.0034055636545172,0.9987088812653528,1.008535761615904,resolved
0.5,96,128,2,16,16,True,True,0.710764187229369,0.7078054451360727,0.002958742093296274,1.0041801629439675,0.9992840697670665,1.0090885635135893,resolved
0.5,96,128,3,16,16,True,True,0.7380204438963132,0.7348719314685198,0.0031485124277933485,1.0042844369106623,0.9997951709889368,1.0088184347608609,resolved
0.5,96,128,4,16,16,True,True,0.7606105027655085,0.7584285073176493,0.002181995447859131,1.0028769955596424,0.9982754329761392,1.0075113741659756,resolved
0.5,96,128,5,16,16,True,True,0.7787230789657893,0.7763385225079495,0.0023845564578397482,1.0030715421027112,0.9981962122141326,1.0081712978178448,resolved
0.5,96,128,6,16,16,True,True,0.7960721500918877,0.7919444067687962,0.004127743323091515,1.005212162984941,1.0006280013897388,1.0101528643846471,resolved
0.5,96,128,7,16,16,True,True,0.8095124100891959,0.8072764158289341,0.0022359942602618865,1.0027698000541312,0.9979550495482663,1.0083130745542486,resolved
0.5,96,128,8,16,16,True,True,0.8226908653365717,0.8198564501736161,0.0028344151629555725,1.003457209078925,0.9980916946539309,1.008567317765241,resolved
0.5,96,128,10,16,16,True,True,0.8452587620902053,0.8424424503923401,0.002816311697865226,1.0033430315584806,0.9979901365349034,1.0089445734145872,resolved
0.5,96,128,12,16,16,True,True,0.8645435693457828,0.8590448284686794,0.005498740877103447,1.006400994098184,1.0008315953915154,1.0121635012711525,resolved
0.5,96,128,14,16,16,True,True,0.881754908098993,0.8760260603811286,0.005728847717864416,1.0065395859517832,1.000842340482947,1.012232686203353,resolved
0.5,96,128,16,16,16,True,True,0.895192769763443,0.8909407596621481,0.004252010101294834,1.0047724947536436,0.9994390680229557,1.0103211953435345,resolved
0.5,96,128,20,16,16,True,True,0.922893886251322,0.9190584310644376,0.003835455186884329,1.0041732441129365,0.9985749292757619,1.009779776663673,resolved
0.5,96,128,23,16,16,True,True,0.9384077149318013,0.9349936633619738,0.0034140515698275475,1.0036514167995016,0.9967797618780615,1.0104796567746885,resolved
0.5,96,128,28,16,16,True,True,0.9638512594946174,0.9583802100243982,0.005471049470219147,1.0057086419491903,1.0001243297610614,1.012138271879992,resolved
0.5,96,128,33,16,16,True,True,0.9829928649131121,0.9800218137979699,0.002971051115142176,1.0030316173306675,0.9959736140351909,1.0099868939256833,resolved
0.5,96,128,39,16,16,True,True,1.0083907947231954,0.999923615873453,0.008467178849742352,1.0084678256572088,1.0010753233811973,1.0158793303053308,resolved
0.5,96,128,47,16,16,True,True,1.036616766565878,1.0344902358003283,0.0021265307655498056,1.002055631548716,0.993687785367464,1.0099149623176364,resolved
0.5,96,128,56,16,16,True,True,1.0662469090112214,1.06562478647542,0.000622122535801406,1.000583810121252,0.9929677479523398,1.0085396568876455,resolved
0.5,96,128,66,16,16,True,True,1.0979716812322162,1.0938837270374997,0.0040879541947165254,1.0037371012052512,0.9953194311002339,1.0128686710255372,resolved
0.5,96,128,79,16,16,True,True,1.128120640121523,1.1270141304201975,0.00110650970132542,1.0009818064134768,0.9913634479163268,1.0108646483771202,resolved
0.5,96,128,94,16,16,True,True,1.1602541269140676,1.159631369327792,0.000622757586275613,1.0005370306484866,0.9892646004834146,1.011797265167793,resolved
0.5,96,128,112,16,16,True,True,1.1971500108714628,1.1897929004846215,0.007357110386841281,1.0061835218413597,0.9962221823351369,1.0167501224008062,resolved
0.5,96,128,134,16,16,True,True,1.226975809340395,1.2231404738510923,0.0038353354893028158,1.0031356459632368,0.9935048910231916,1.0128406256050733,resolved
0.5,96,128,159,16,16,True,True,1.2614021093358847,1.259845200118311,0.0015569092175737875,1.0012357940621812,0.9919782614659973,1.0108657098323937,resolved
0.5,96,128,190,16,16,True,True,1.299950308978643,1.2947598038552535,0.005190505123389588,1.0040088556255256,0.9940338275976216,1.014051470755113,resolved
0.5,96,128,226,16,16,True,True,1.3326865086018223,1.331619209491258,0.001067299110564246,1.0008015047417136,0.9928757906822646,1.010135523641149,resolved
0.5,96,128,269,16,16,True,True,1.369590361416504,1.3749535297965956,-0.005363168380091654,0.9960993820781092,0.9879182372063351,1.0062215085702662,resolved
0.5,96,128,321,16,16,True,True,1.4120149027845823,1.4107233097637706,0.001291593020811721,1.00091555375308,0.9937773837671464,1.0094178219622694,resolved
0.5,96,128,382,16,16,True,True,1.4570096918906634,1.451268556207827,0.005741135682836518,1.0039559429977853,0.995537117869741,1.014408071345365,resolved
0.5,96,128,455,16,16,True,True,1.504401127724229,1.4954663998086948,0.00893472791553429,1.0059745427357494,0.9964726536589823,1.016499964834016,resolved
0.5,96,128,542,16,16,True,True,1.5492326398277179,1.5433605469579483,0.00587209286976953,1.0038047447055347,0.993340894416419,1.0171152908100913,resolved
0.5,96,128,646,16,16,True,True,1.6040554562465363,1.5952228635609007,0.008832592685635632,1.0055369020137532,0.9943025267759809,1.0180663875529767,resolved
0.5,96,128,769,16,16,True,True,1.6553286006356531,1.644218970943836,0.011109629691817169,1.0067567823313945,0.995425136133165,1.0200982335172972,resolved
