composition,L,sweep,n_replicas,resolved_all,resolved_x,resolved_y,mean_length_x,mean_length_y,mean_length,standard_error,length_over_L
0.5,96,7472,16,True,16,16,2.6846968042058386,2.7178421245902284,2.7012694643980333,0.02048813848494228,0.028138223587479513
0.5,96,8900,16,True,16,16,2.766562509888667,2.870124706429629,2.8183436081591484,0.01958236145809164,0.029357745918324463
0.5,96,10600,16,True,16,16,2.8766701074903356,3.006769782103132,2.9417199447967337,0.0219453712352941,0.03064291609163264
0.5,96,12626,16,True,16,16,3.0226411395872597,3.1696743092047845,3.096157724396022,0.02175840708581728,0.03225164296245856
0.5,96,15039,16,True,16,16,3.143970834803357,3.3324002093120564,3.2381855220577074,0.025504936463925272,0.03373109918810112
0.5,96,17913,16,True,16,16,3.300238492360215,3.5043371061025073,3.4022877992313614,0.04221586253081632,0.03544049790866002
0.5,96,21336,16,True,16,16,3.4523940328262013,3.731221912368407,3.591807972597304,0.03408682283968416,0.03741466638122192
0.5,96,25413,16,True,16,16,3.56290674487059,3.9101817689539615,3.736544256912277,0.037797706371402055,0.038922336009502886
0.5,96,30270,16,True,16,16,3.738684384489666,4.115563848662575,3.9271241165761217,0.04727842625985389,0.04090754288100127
0.5,96,36055,16,True,16,16,3.8843020329341678,4.2911399361691664,4.087720984551668,0.046726854938867406,0.042580426922413206
0.5,96,42945,16,True,16,16,4.085887445820749,4.56350405689796,4.3246957513593545,0.05638326923982922,0.045048914076659945
0.5,96,51152,16,True,16,16,4.259322861988705,4.830919511747664,4.545121186868186,0.06763135201437523,0.047345012363210266
0.5,96,60927,16,True,16,16,4.434815392463893,5.131822746598755,4.783319069531324,0.07374697441702575,0.04982624030761796
0.5,96,72570,16,True,16,16,4.627635485677779,5.525113971311777,5.076374728494779,0.09658124344411247,0.05287890342182061
0.5,96,86439,16,True,16,16,4.865431885572814,5.847866405471082,5.356649145521948,0.08963890170790288,0.05579842859918696
0.5,96,102958,16,True,16,16,5.130639413159358,6.203233492505964,5.666936452832661,0.11326398468757876,0.05903058805034022
0.5,96,122633,16,True,16,16,5.469254458034715,6.540869303457914,6.005061880746313,0.12317912805210349,0.06255272792444076
0.5,96,146069,16,True,16,16,5.751052790751687,6.813224628161239,6.282138709456463,0.14600435353479066,0.06543894489017149
0.5,96,173983,16,True,16,16,5.962179758478954,7.263276345900362,6.6127280521896585,0.13498375656518097,0.06888258387697561
0.5,96,207231,16,True,16,16,6.292378024456674,7.70818963974104,7.000283832098856,0.15157376055982477,0.07291962325102976
0.5,96,246834,16,True,16,16,6.729041692084622,8.06292335674539,7.395982524415007,0.1812377615512753,0.07704148462932299
0.5,96,294005,16,True,16,16,7.0171957984826765,8.457552335590464,7.737374067036569,0.18262109999576615,0.08059764653163093
0.5,96,350190,16,True,16,16,7.281172194387187,8.793257995463925,8.037215094925555,0.15405813612016928,0.0837209905721412
0.5,96,417112,16,True,16,16,7.587490175268826,9.406200998991542,8.496845587130185,0.11735308858254737,0.08850880819927276
0.5,96,496824,16,True,16,16,8.168795558403454,10.138941601886913,9.153868580145183,0.17264098054928384,0.09535279770984566
0.5,96,591769,16,True,16,16,8.703345829458119,10.874010843013899,9.788678336236009,0.20568762603225008,0.10196539933579175
0.5,96,704857,16,True,16,16,9.303872808254726,11.670061309461925,10.486967058858324,0.27696399564745916,0.10923924019644088
0.5,96,839558,16,True,16,16,10.076375716422763,12.270634933857242,11.173505325140004,0.28720109922336995,0.11639068047020838
0.5,96,1000000,16,False,16,15,10.645065095509938,nan,nan,nan,nan
0.5,128,1,16,True,16,16,0.6682110855694041,0.6691327907620714,0.6686719381657377,0.0010437056819659625,0.0052239995169198255
0.5,128,2,16,True,16,16,0.7075029219736502,0.7081079682984952,0.7078054451360727,0.000982062763452464,0.005529730040125568
